name,company,phone,address,payableAmount
"Nadeesha","Unilever Sri Lanka",0112345678,"258 M. Vincent Perera Mawatha, Colombo 14",0
"Channa","Ceylon Biscuits Limited (CBL)",0112856942,"P.O. Box 3, High Level Road, Makumbura, Pannipitiya",0
"Ruwan","Maliban Biscuit Manufactories",0112738944,"389 Galle Road, Ratmalana",0
"Dinusha","Nestle Lanka PLC",0112699999,"400 Deans Road, Colombo 10",62756
"Tharaka","Hemas Consumer Brands",0114731731,"Hemas House, 75 Braybrooke Place, Colombo 02",43177
"Anuradha","Ceylon Cold Stores (Elephant House)",0112306000,"117 Sir Chittampalam A. Gardiner Mawatha, Colombo 02",0
"Vipula","Cargills (Ceylon) PLC",0112427777,"40 York Street, Colombo 01",0
"Nuwan","Prima Ceylon",0112888888,"50 Sri Jayawardenepura Mawatha, Rajagiriya",0
"Saman","Keells Food Products",0112306000,"117 Sir Chittampalam A. Gardiner Mawatha, Colombo 02",0
"Mahinda","Wijaya Products",0382234567,"Dodangoda, Kalutara",0
"Upul","MD (Marketing Department)",0112692222,"Narahenpita, Colombo 05",0
"Senaka","Fonterra Brands Lanka (Anchor)",0114777888,"Biyagama, Sri Lanka",94066
"Kumara","Pelwatte Dairy",0112456789,"Pelwatte, Buttala",75647
"Asanka","Lanka Soy",0112945678,"Peliyagoda",87636
"Rajith","Edinborough Products",0112833444,"Boralesgamuwa",0
"Dhammika","Raigam",0112899000,"Bandaragama",0
"Lasantha","Kist (CGI)",0112555666,"Colombo 03",0
"Ajith","CIC Holdings",0112359359,"199 Kew Road, Colombo 02",17653
"Rizwan","Bairaha Farms",0112556444,"Galle Road, Colombo 03",46255
"Chameera","Maxies",0312222333,"Negombo",44996
